task_id,difficulty,process_steps,num_api_calls
07b42fd_1,1,6,15
07b42fd_2,1,6,15
07b42fd_3,1,6,15
0d8a4ee_1,2,6,34
0d8a4ee_2,2,6,36
0d8a4ee_3,2,6,45
229360a_1,2,11,70
229360a_2,2,11,73
229360a_3,2,11,65
22cc237_1,3,14,31
22cc237_2,3,14,32
22cc237_3,3,14,32
23cf851_1,1,7,14
23cf851_2,1,7,14
23cf851_3,1,7,14
27e1026_1,1,12,105
27e1026_2,1,12,84
27e1026_3,1,12,81
287e338_1,1,8,36
287e338_2,1,8,36
287e338_3,1,8,43
29caf6f_1,2,14,10
29caf6f_2,2,14,10
29caf6f_3,2,14,10
2a163ab_1,2,8,29
2a163ab_2,2,8,33
2a163ab_3,2,8,40
302c169_1,1,12,20
302c169_2,1,12,18
302c169_3,1,12,20
34d9492_1,3,6,89
34d9492_2,3,6,79
34d9492_3,3,6,67
37a8675_1,2,8,11
37a8675_2,2,8,9
37a8675_3,2,8,9
383cbac_1,1,9,26
383cbac_2,1,9,26
383cbac_3,1,9,26
396c5a2_1,1,7,7
396c5a2_2,1,7,7
396c5a2_3,1,7,7
3ab5b8b_1,1,8,46
3ab5b8b_2,1,8,31
3ab5b8b_3,1,8,33
3c13f5a_1,3,12,21
3c13f5a_2,3,12,21
3c13f5a_3,3,12,21
4ec8de5_1,1,10,46
4ec8de5_2,1,10,43
4ec8de5_3,1,10,44
4fab96f_1,2,8,32
4fab96f_2,2,8,41
4fab96f_3,2,8,31
50e1ac9_1,2,13,132
50e1ac9_2,2,13,133
50e1ac9_3,2,13,139
530b157_1,3,9,18
530b157_2,3,9,18
530b157_3,3,9,18
57c3486_1,1,6,214
57c3486_2,1,6,138
57c3486_3,1,6,195
60d0b5b_1,2,9,8
60d0b5b_2,2,9,8
60d0b5b_3,2,9,8
6104387_1,3,13,195
6104387_2,3,13,202
6104387_3,3,13,191
6171bbc_1,2,7,63
6171bbc_2,2,7,64
6171bbc_3,2,7,80
68ee2c9_1,1,6,205
68ee2c9_2,1,6,125
68ee2c9_3,1,6,131
692c77d_1,2,8,145
692c77d_2,2,8,101
692c77d_3,2,8,244
6bdbc26_1,1,8,6
6bdbc26_2,1,8,6
6bdbc26_3,1,8,6
6c2c621_1,2,7,71
6c2c621_2,2,7,67
6c2c621_3,2,7,91
6ea6792_1,1,10,45
6ea6792_2,1,10,49
6ea6792_3,1,10,53
76f2c72_1,2,7,28
76f2c72_2,2,7,26
76f2c72_3,2,7,18
771d8fc_1,1,8,46
771d8fc_2,1,8,43
771d8fc_3,1,8,44
7d7fbf6_1,2,6,9
7d7fbf6_2,2,6,9
7d7fbf6_3,2,6,9
82e2fac_1,1,8,71
82e2fac_2,1,8,33
82e2fac_3,1,8,30
aa8502b_1,2,8,37
aa8502b_2,2,8,29
aa8502b_3,2,8,37
afc0fce_1,3,7,93
afc0fce_2,3,7,119
afc0fce_3,3,7,61
b0a8eae_1,3,11,28
b0a8eae_2,3,11,28
b0a8eae_3,3,11,28
b119b1f_1,2,6,13
b119b1f_2,2,6,13
b119b1f_3,2,6,13
b7a9ee9_1,2,7,86
b7a9ee9_2,2,7,95
b7a9ee9_3,2,7,74
c901732_1,1,9,22
c901732_2,1,9,25
c901732_3,1,9,22
ccb4494_1,2,8,12
ccb4494_2,2,8,12
ccb4494_3,2,8,12
ce359b5_1,2,8,96
ce359b5_2,2,8,144
ce359b5_3,2,8,124
cf6abd2_1,1,8,7
cf6abd2_2,1,8,7
cf6abd2_3,1,8,7
d0b1f43_1,2,9,45
d0b1f43_2,2,9,105
d0b1f43_3,2,9,45
d4e9306_1,1,10,63
d4e9306_2,1,10,71
d4e9306_3,1,10,68
df61dc5_1,1,7,50
df61dc5_2,1,7,129
df61dc5_3,1,7,118
e3d6c94_1,1,10,40
e3d6c94_2,1,10,50
e3d6c94_3,1,10,40
e7a10f8_1,1,7,49
e7a10f8_2,1,7,58
e7a10f8_3,1,7,53
e85d92a_1,1,8,5
e85d92a_2,1,8,5
e85d92a_3,1,8,5
fac291d_1,2,9,34
fac291d_2,2,9,34
fac291d_3,2,9,34
